Matrix Size,Eigenvalue,Kinetic Difference,Log Kinetic Difference
714,1.84623093820147073198675771804276151,0.0037961240682075751200199871770818869065439701080,-2.42065960202519558919220798998139798641204833984375
715,1.84623093819916556228673602767788541,0.0037961240659024054199982968122057869065439701080,-2.420659602288917966461667674593627452850341796875
716,1.84623093819687324827293595664372131,0.0037961240636100914061982257780416869065439701080,-2.42065960255116952026810395182110369205474853515625
717,1.84623093819459370045155902652807342,0.0037961240613305435848212956623937969065439701080,-2.420659602811960464663343373103998601436614990234375
718,1.84623093819232683007537241761814405,0.0037961240590636732086346867524644269065439701080,-2.42065960307130101369921248988248407840728759765625
719,1.84623093819007254913645314724707731,0.0037961240568093922697154163813976869065439701080,-2.42065960332920138142753785359673202037811279296875
720,1.84623093818783077035901272082576992,0.0037961240545676134922749899600902969065439701080,-2.42065960358567178190014601568691432476043701171875
721,1.84623093818560140719230126824188176,0.0037961240523382503255635373762021369065439701080,-2.420659603840721540990443827467970550060272216796875
722,1.84623093818338437380359016954678868,0.0037961240501212169368524386811090569065439701080,-2.420659604094360428661047990317456424236297607421875
723,1.84623093818117958507123218602542947,0.0037961240479164282044944551597498469065439701080,-2.420659604346598658963785055675543844699859619140625
724,1.84623093817898695657779815730068830,0.0037961240457237997110604264350086769065439701080,-2.42065960459744555777206187485717236995697021484375
725,1.84623093817680640460328929221641370,0.0037961240435432477365515613507340769065439701080,-2.42065960484691089504849514923989772796630859375
726,1.84623093817463784611842412451475089,0.0037961240413746892516863936490712669065439701080,-2.420659605095004440755701580201275646686553955078125
727,1.84623093817248119877799923046888065,0.0037961240392180419112614996032010269065439701080,-2.420659605341735076677878168993629515171051025390625
728,1.84623093817033638091432275734360638,0.0037961240370732240475850264779267569065439701080,-2.420659605587112128688431766931898891925811767578125
729,1.84623093816820331153071990992760821,0.0037961240349401546639821790619285869065439701080,-2.420659605831145366749979075393639504909515380859375
730,1.84623093816608191029510947866312930,0.0037961240328187534283717477974496769065439701080,-2.420659606073843672646717095631174743175506591796875
731,1.84623093816397209753365054819718838,0.0037961240307089406669128173315087569065439701080,-2.42065960631521637225205267895944416522979736328125
732,1.84623093816187379422445852491137240,0.0037961240286106373577207940456927769065439701080,-2.420659606555271903260972976568154990673065185546875
733,1.84623093815978692199138962732412747,0.0037961240265237651246518964584478469065439701080,-2.4206596067940200356360946898348629474639892578125
734,1.84623093815771140309789301199916256,0.0037961240244482462311552811334829369065439701080,-2.4206596070314692070724049699492752552032470703125
735,1.84623093815564716044092969945282898,0.0037961240223840035741919685871493569065439701080,-2.420659607267628299354100818163715302944183349609375
736,1.84623093815359411754495748397848971,0.0037961240203309606782197531128100869065439701080,-2.420659607502506194265379235730506479740142822265625
737,1.84623093815155219855598103334869882,0.0037961240182890416892433024830191969065439701080,-2.420659607736111329501227373839356005191802978515625
738,1.84623093814952132823566637058180312,0.0037961240162581713689286397161234969065439701080,-2.420659607968452586845842233742587268352508544921875
739,1.84623093814750143195551896809524826,0.0037961240142382750887812372295686369065439701080,-2.420659608199537959905001116567291319370269775390625
740,1.84623093814549243569112467106557169,0.0037961240122292788243869401998920669065439701080,-2.4206596084293767745521108736284077167510986328125
741,1.84623093814349426601645269380015459,0.0037961240102311091497149629344749669065439701080,-2.420659608657976580303738955990411341190338134765625
742,1.84623093814150685009821994041918182,0.0037961240082436932314822095535021969065439701080,-2.420659608885346703033292214968241751194000244140625
743,1.84623093813953011569031589998881992,0.0037961240062669588235781691231402969065439701080,-2.4206596091114942481681282515637576580047607421875
744,1.84623093813756399112828739344595890,0.0037961240043008342615496625802792769065439701080,-2.42065960933642809749244406702928245067596435546875
745,1.84623093813560840532388243555291325,0.0037961240023452484571447046872336269065439701080,-2.420659609560156244612016962491907179355621337890625
746,1.84623093813366328775965252766706970,0.0037961240004001308929147968013900769065439701080,-2.4206596097826871272218340891413390636444091796875
747,1.84623093813172856848361264849286410,0.0037961239984654116168749176271844769065439701080,-2.420659610004027850749253047979436814785003662109375
748,1.84623093812980417810395826267145648,0.0037961239965410212372205318057768569065439701080,-2.42065961022418729697847084025852382183074951171875
749,1.84623093812789004778383867157641665,0.0037961239946268909171009407107370269065439701080,-2.42065961044317301542605491704307496547698974609375
750,1.84623093812598610923618601309408934,0.0037961239927229523694482822284097169065439701080,-2.4206596106609925556085727293975651264190673828125
