Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2)
44,0.500000354692445993451223549626800532,3.54692445993451223549626800532E-7,-6.45014806074794666557181699317879974842071533203125,1.84623325685587014815623350825873953,0.000002319204585628308720632759670870,-5.63466093894699593391806047293357551097869873046875
45,0.500000331688449270504869212029953557,3.31688449270504869212029953557E-7,-6.47926965210254568461323287920095026493072509765625,1.84623310627894680856830090537507898,0.000002168627662288720788029876010320,-5.66381500681215133141677142702974379062652587890625
46,0.500000310631561081523751457248079302,3.10631561081523751457248079302E-7,-6.50775442076715382455631697666831314563751220703125,1.84623296846379224929494622812455269,0.000002030812507729447433352625484030,-5.6923301704490594232765943161211907863616943359375
47,0.500000291320047010758052649987422802,2.91320047010758052649987422802E-7,-6.5356296286350019641986364149488508701324462890625,1.84623284208619508927230243717089617,0.000001904434910569424789561671827510,-5.72023386598733107888392623863182961940765380859375
48,0.500000273576744162796904255769240017,2.73576744162796904255769240017E-7,-6.56292082329342552071693717152811586856842041015625,1.84623272598351027920109504623982615,0.000001788332225759353582170740757490,-5.74755179739071220268442630185745656490325927734375
49,0.500000257245639067094701477854181989,2.57245639067094701477854181989E-7,-6.58965197884016529172868104069493710994720458984375,1.84623261913211506372895132486494872,0.000001681480830543881438449365880060,-5.77430807942663903986613149754703044891357421875
50,0.500000242188979628340553906490179497,2.42188979628340553906490179497E-7,-6.61584562252859686992678689421154558658599853515625,1.84623252062839037960459952446308997,0.000001582977105859757086648964021310,-5.800525366167761376345879398286342620849609375
51,0.500000228284829158600065763982180647,2.28284829158600065763982180647E-7,-6.64152294891986816338658172753639519214630126953125,1.84623242967261925191022238190940021,0.000001492021334732062709506410331550,-5.82622496674930001603343043825589120388031005859375
52,0.500000215424987792532593916084191259,2.15424987792532593916084191259E-7,-6.6667039229925126875286878203041851520538330078125,1.84623234555530824964465168482053444,0.000001407904023729797138809321465780,-5.8514269498709179373463484807871282100677490234375
53,0.500000203513220352578262092504081371,2.03513220352578262092504081371E-7,-6.69140737346734670865089356084354221820831298828125,1.84623226764552929326770024299704599,0.000001329994244773420187367497977330,-5.87615023833257854590783608728088438510894775390625
54,0.500000192463740756719384084167731588,1.92463740756719384084167731588E-7,-6.7156510774413451514419648447073996067047119140625,1.84623219538095213575692724360624248,0.000001257729667615909414368107173820,-5.9004126947246060552743074367754161357879638671875
55,0.500000182199911931586459365384907505,1.82199911931586459365384907505E-7,-6.7394518372841805131656656158156692981719970703125,1.84623212825929655717730105417868125,0.000001190608012037329788178679612590,-5.9242311992478189353050765930674970149993896484375
56,0.500000172653127359987120454616280717,1.72653127359987120454616280717E-7,-6.76282555063115342619539660518057644367218017578125,1.84623206583098072678450156230666445,0.000001128179696206936988686807595790,-5.94762172051617010737345481174997985363006591796875
57,0.500000163761846205299669128277756524,1.63761846205299669128277756524E-7,-6.7857872742033027435581971076317131519317626953125,1.84623200769278062993949091076950075,0.000001070041496110091978035270432090,-5.9705993800884424871355804498307406902313232421875
58,0.500000155470758689531631937583250768,1.55470758689531631937583250768E-7,-6.808351282096733569915159023366868495941162109375,1.84623195348234675011923557964435564,0.000001015831062230271722704145286980,-5.9931785113844160406415539910085499286651611328125
59,0.500000147730062272047867281368009311,1.47730062272047867281368009311E-7,-6.83053111910664778605450919712893664836883544921875,1.84623190287344976594575665147227006,9.65222165246098243775973201400E-7,-6.015372713562317841251569916494190692901611328125
60,0.500000140494832351282903617342651668,1.40494832351282903617342651668E-7,-6.852339649585207581594659131951630115509033203125,1.84623185557184799283458075860063939,9.17920563472987067883101570730E-7,-6.03719490086636056958013796247541904449462890625
61,0.500000133724473826091392999559610364,1.33724473826091392999559610364E-7,-6.87378910227478190364536203560419380664825439453125,1.84623181131168655693046684024687015,8.73660402037082953964747801490E-7,-6.05865734789417675898448578664101660251617431640625
62,0.500000127382242013162611492941968250,1.27382242013162611492941968250E-7,-6.89489111150801203820037699188105762004852294921875,1.84623176985235254086035857253686365,8.32201068021012845697037794990E-7,-6.07977173118265934448345433338545262813568115234375
63,0.500000121434823207009667038144858580,1.21434823207009667038144858580E-7,-6.91565675512243149825053478707559406757354736328125,1.84623173097572214891506569322969962,7.93324437629067552817730630960E-7,-6.100549167466009947702332283370196819305419921875
64,0.500000115851966657415471446893516821,1.15851966657415471446893516821E-7,-6.93609658939913487074591103009879589080810546875,1.84623169448374575373546771576644121,7.56832461233887954840267372550E-7,-6.12100024892072358539962806389667093753814697265625
65,0.500000110606160980512809384599792569,1.10606160980512809384599792569E-7,-6.9562206813015006190425992826931178569793701171875,1.84623166019632486910957597069125724,7.22545040349262063095192188580E-7,-6.14113507567803385001070637372322380542755126953125
66,0.500000105672349057974029833492307782,1.05672349057974029833492307782E-7,-6.97603863826056613817172546987421810626983642578125,1.84623162794944193572921862535920006,6.90298157415881705749860131400E-7,-6.16096328585431773916525344247929751873016357421875
67,0.500000101027676349771450631374010658,1.01027676349771450631374010658E-7,-6.9955596357277638475125058903358876705169677734375,1.84623159759350954471604426590102293,6.59942225024868531390401954270E-7,-6.18049408332355110218259142129682004451751708984375
68,0.500000096651268278629280856961518241,9.6651268278629280856961518241E-8,-7.014792442692890261923821526579558849334716796875,1.84623156899191054903802341396742253,6.31340626029190510538468353870E-7,-6.19973626343264516691533572156913578510284423828125
69,0.500000092524032962245885874781415368,9.2524032962245885874781415368E-8,-7.03374544534503787218682191451080143451690673828125,1.84623154201970458171539404876529364,6.04368420061867881173266224980E-7,-6.2186982368399394971447691204957664012908935546875
70,0.500000088628486091936042097312646303,8.8628486091936042097312646303E-8,-7.0524266690363486276282856124453246593475341796875,1.84623151656247993954832164752609803,5.78911195419700808772027029370E-7,-6.23738805163895815297792069031856954097747802734375
71,0.500000084948595199366302481878132422,8.4948595199366302481878132422E-8,-7.0708437986926160334633095772005617618560791015625,1.84623149251533270658735972301957976,5.54864048186739846847520511100E-7,-6.2558134139134207174492985359393060207366943359375
72,0.500000081469640929562096795035426639,8.1469640929562096795035426639E-8,-7.08900419780072876818621807615272700786590576171875,1.84623146978195746872091552685196732,5.32130672948873402651352898660E-7,-6.2739817068551939627241154084913432598114013671875
73,0.500000078178093259101197278668604438,7.8178093259101197278668604438E-8,-7.1069149260903810016998249921016395092010498046875,1.84623144827383608050253617244602561,5.10622551560655023296946956950E-7,-6.291900008564137891653444967232644557952880859375
74,0.500000075061500872266589787458366777,7.5061500872266589787458366777E-8,-7.12458275601637236462693181238137185573577880859375,1.84623142790951274634517481976204252,4.90258228226497661944262973860E-7,-6.3095751086374836091863471665419638156890869140625
75,0.500000072108392142288892021645837502,7.2108392142288892021645837502E-8,-7.1420141881378231829557989840395748615264892578125,1.84623140861394521911601871359123982,4.70962660699268505838092171160E-7,-6.3270135236462312633420879137702286243438720703125
76,0.500000069308186365799385753060856144,6.9308186365799385753060856144E-8,-7.15921546548173193258435276220552623271942138671875,1.84623139031792324042427050308645741,4.52666638720576757627587388750E-7,-6.34422151158703417905826427158899605274200439453125
77,0.500000066651114071355437441889789633,6.6651114071355437441889789633E-8,-7.1761925869703251379405628540553152561187744140625,1.84623137295754648222671969787044135,4.35306261962379206822371372690E-7,-6.36120508538993334468614193610846996307373046875
78,0.500000064128145371667646855369323205,6.4128145371667646855369323205E-8,-7.1929513199844876680799643509089946746826171875,1.84623135647375522696586231131074816,4.18822470707118349435811679500E-7,-6.377970025555018906970872194506227970123291015625
79,0.500000061730925457536661043382175395,6.1730925457536661043382175395E-8,-7.2094972121291380773300261353142559528350830078125,1.84623134081190786691514286249407628,4.03160623347067629986995007620E-7,-6.39452189198462139785306135308928787708282470703125
80,0.500000059451716442508056121926007304,5.9451716442508056121926007304E-8,-7.22583560226061738518410493270494043827056884765625,1.84623132592140003256611104059856619,3.88270115512718598165099497530E-7,-6.41086603507172458904506129329092800617218017578125
81,0.500000057283344863411122293332301283,5.7283344863411122293332301283E-8,-7.24197163083096295821405874448828399181365966796875,1.84623131175532079144578333997784775,3.74104036271598270464478779090E-7,-6.42700760610004095951808267273008823394775390625
82,0.500000055219154225400969560975224191,5.5219154225400969560975224191E-8,-7.257910249599223817540405434556305408477783203125,1.84623129827014190678214523415962780,3.60618857386934632358660559140E-7,-6.4429515670064088084245668142102658748626708984375
83,0.500000053252962052682312805239658201,5.3252962052682312805239658201E-8,-7.27365623075574063705062144435942173004150390625,1.84623128542543662185007030329588225,3.47774152102002557427796813590E-7,-6.45870269955188991417571742204017937183380126953125
84,0.500000051379020969290991539257838141,5.1379020969290991539257838141E-8,-7.2892141755014652204636149690486490726470947265625,1.84623127318362485071843456936590495,3.35532340330870921693866836290E-7,-6.4742656139440413198826718144118785858154296875
85,0.500000049591983389447939229570412841,4.9591983389447939229570412841E-8,-7.30458852212091880318212133715860545635223388671875,1.84623126150974201805031992492832908,3.23858457498202807049429260420E-7,-6.489644756949321191541457665152847766876220703125
86,0.500000047886869445188194459699170764,4.7886869445188194459699170764E-8,-7.31978355358423993237693139235489070415496826171875,1.84623125037122910687190140369763724,3.12719944587024388528198568580E-7,-6.50484441953139747027989869820885360240936279296875
87,0.500000046259037821149794201421570488,4.6259037821149794201421570488E-8,-7.33480340471090297427281257114373147487640380859375,1.84623123973774175003651467902196722,3.02086457230189001803522898560E-7,-6.51986874404824856554796497221104800701141357421875
88,0.500000044704159203391159510692290187,4.4704159203391159510692290187E-8,-7.34965206892509304026361860451288521289825439453125,1.84623122958097644377847909494542605,2.91929691923930966219446357390E-7,-6.534721731038274583625025115907192230224609375
89,0.500000043218192081582268418134453213,4.3218192081582268418134453213E-8,-7.36433340463035879253084203810431063175201416015625,1.84623121987451217481906457249226556,2.82223227654971551696993196900E-7,-6.54940724562330256475206624600104987621307373046875
90,0.500000041797360672476946253986043577,4.1797360672476946253986043577E-8,-7.3788511412290009872094742604531347751617431640625,1.84623121059366593985113207040041653,2.72942381420003619194901347870E-7,-6.563929023554134545292981783859431743621826171875
91,0.500000040438134757730238785832090742,4.0438134757730238785832090742E-8,-7.3932088848097041733353762538172304630279541015625,1.84623120171536080123518561334319701,2.64064076281387672737844128350E-7,-6.5782906769223448151251432136632502079010009765625
92,0.500000039137211251314272593306457056,3.9137211251314272593306457056E-8,-7.40741012352510086458323712577112019062042236328125,1.84623119321800526826742636470299886,2.55566720748419913489203930200E-7,-6.5924956995601888820601743645966053009033203125
93,0.500000037891497331385933784674075802,3.7891497331385933784674075802E-8,-7.42145823267934989786454025306738913059234619140625,1.84623118508138292191172355052676889,2.47430098402064210675027700230E-7,-6.60654747214885862405253647011704742908477783203125
