Matrix size,Eigenvalue 1,Eigenvalue 2,Difference,Log(Adjusted Eigenvalue)
954,0.500000000035355792335196178162506619,1.84623093788189875983912097256361972,1.346230937846542967503924794401113101,0.1291195668934695672813717237659147940576076507568359375
955,0.500000000035244871969948149532591819,1.84623093788117472869569499922086824,1.346230937845929856725746849688276421,0.1291195668932717810495347521282383240759372711181640625
956,0.500000000035134415101141730230921306,1.84623093788045372302812963321628493,1.346230937845319307926987902985363624,0.12911956689307479972939063372905366122722625732421875
957,0.500000000035024419310321823165674411,1.84623093787973572704988643681932773,1.346230937844711307739564613653653319,0.1291195668928786510765149841972743161022663116455078125
958,0.500000000034914882194160508896293249,1.84623093787902072507317049346609518,1.346230937844105842879009984569801931,0.12911956689268333509090780353290028870105743408203125
959,0.500000000034805801364346769544802460,1.84623093787830870150821058648217160,1.346230937843502900143863816937369140,0.1291195668924888517725690917359315790235996246337890625
960,0.500000000034697174447477134530933414,1.84623093787759964086254536805608935,1.346230937842902466415068233525155936,0.129119566892295145610347617548541165888309478759765625
961,0.500000000034588999084947232562754054,1.84623093787689352774031546334314862,1.346230937842304528655368230780394566,0.12911956689210224435981899659964255988597869873046875
962,0.500000000034481272932844246933461854,1.84623093787619034684156145398776164,1.346230937841709073908717207054299786,0.129119566891910120265407613260322250425815582275390625
963,0.500000000034373993661840260359448358,1.84623093787549008296152768568283665,1.346230937841116089299687425323388292,0.1291195668917188843494159300462342798709869384765625
964,0.500000000034267158957086486209932698,1.84623093787479272098997184610746516,1.346230937840525562032885359897532462,0.1291195668915283423228146375549840740859508514404296875
965,0.500000000034160766518108373036428596,1.84623093787409824591048025774483211,1.346230937839937479392371884708403514,0.1291195668913386607190574295600526966154575347900390625
966,0.500000000034054814058701578824409471,1.84623093787340664279978883664874681,1.346230937839351828741087257824337339,0.1291195668911497007602662279168725945055484771728515625
967,0.500000000033949299306828804302396981,1.84623093787271789682710965931567549,1.346230937838768597520280855013278509,0.1291195668909615734687434951410978101193904876708984375
968,0.500000000033844220004517476577140369,1.84623093787203199325346308833175332,1.346230937838187773248945611754612951,0.12911956689077419557776238434598781168460845947265625
969,0.500000000033739573907758276894727430,1.84623093787134891743101540689646860,1.346230937837609343523257130001741170,0.1291195668905875948428985111604561097919940948486328125
970,0.500000000033635358786404505957845195,1.84623093787066865480242190646970440,1.346230937837033296016017400511859205,0.1291195668904017990197274912134162150323390960693359375
971,0.500000000033531572424072274225160036,1.84623093786999119090017538172080734,1.346230937836459618476103107495647304,0.129119566890216697085946861989214085042476654052734375
972,0.500000000033428212618041514950851187,1.84623093786931651134595997909574272,1.346230937835888298727918464144891533,0.1291195668900323723082834703745902515947818756103515625
973,0.500000000033325277179157809939247037,1.84623093786864460185001035190730026,1.346230937835319324670852541968053223,0.1291195668898487969311617007406312040984630584716796875
974,0.500000000033222763931735018557904582,1.84623093786797544821047607413524701,1.346230937834752684278741055577342428,0.1291195668896660542213083999740774743258953094482421875
