Matrix size,Eigenvalue 2,Adjusted Eigenvalue,Log(Adjusted Eigenvalue)
137,1.84623101523176605132922290866843835,7.75804815537876993121115181763612916233779E-8,-7.11024752899603385003501898609101772308349609375
138,1.84623101356018918431473328056482451,7.59089046867732096840079043363612916233779E-8,-7.1197072750993726231172331608831882476806640625
139,1.84623101193629276359043783189697179,7.42850082660489142353400516163612916233779E-8,-7.12909882398198302411174154258333146572113037109375
140,1.84623101035838872682475424895131997,7.27071042292832306523943997963612916233779E-8,-7.138423152045543673693828168325126171112060546875
141,1.84623100882486022540711889823612802,7.11735757278655953016792078463612916233779E-8,-7.14768121486899676852999618859030306339263916015625
142,1.84623100733415814385897758253082267,6.96828736463174539859739024963612916233779E-8,-7.15687394779653285326048717251978814601898193359375
143,1.84623100588479781231790622665309217,6.82335133147763826300961719963612916233779E-8,-7.1660022665049663004310787073336541652679443359375
144,1.84623100447535590012876576286306440,6.68240714025872421663061442263612916233779E-8,-7.1750670675513621432628497132100164890289306640625
145,1.84623100310446747939420919032071366,6.54531829818526855937637934863612916233779E-8,-7.18406922890173138540603758883662521839141845703125
146,1.84623100177082324809411697619937885,6.41195387505525933796424586763612916233779E-8,-7.19300961044157194379522479721345007419586181640625
147,1.84623100047316690308457765530557654,6.28218824055430540587486563663612916233779E-8,-7.20188905446900395901366209727711975574493408203125
148,1.84623099921029265393640401748714730,6.15590081563948804209302271263612916233779E-8,-7.21070838617120823954564912128262221813201904296875
149,1.84623099798104286917497834184563361,6.03297583716334547452887134363612916233779E-8,-7.21946841408482864466122919111512601375579833984375
150,1.84623099678430584704127098943120523,5.91330213494997473928742850563612916233779E-8,-7.228169930541003651569553767330944538116455078125
151,1.84623099561901370341156132034337823,5.79677292058700377237864580563612916233779E-8,-7.23681371209561152824107921333052217960357666015625
152,1.84623099448414036999393733401687110,5.68328558724524137374599509263612916233779E-8,-7.2454005199453437313650283613242208957672119140625
153,1.84623099337869969636590545408517531,5.57274151988243818575282551363612916233779E-8,-7.25393110033014298920761575573123991489410400390625
154,1.84623099230174364983207786921172870,5.46504591522905542726548085263612916233779E-8,-7.26240618492254075277969604940153658390045166015625
155,1.84623099125236060746632957383479872,5.36010761099248059772778785463612916233779E-8,-7.27082649120441448786777982604689896106719970703125
156,1.84623099022967373506128855099965757,5.25783892375197649544427373963612916233779E-8,-7.27919272283163731884769731550477445125579833984375
157,1.84623098923283944804156996674868835,5.15815549505000463701917681763612916233779E-8,-7.28750556998708898248651166795752942562103271484375
158,1.84623098826104594970764831355553923,5.06097614521661247169986190563612916233779E-8,-7.2957657097224721809425318497233092784881591796875
159,1.84623098731351184246646011066098752,4.96622273449249365141040673463612916233779E-8,-7.3039738062893544423559433198533952236175537109375
160,1.84623098638948480797425955645442096,4.87382003104327359598975007863612916233779E-8,-7.3121305114598396102110200445167720317840576171875
161,1.84623098548824035236843888876944540,4.78369558548269152922125252263612916233779E-8,-7.32023646483726597722352380515076220035552978515625
162,1.84623098460908061299926277282773544,4.69577961154577391762708152663612916233779E-8,-7.32829229415728722329959055059589445590972900390625
163,1.84623098375133322329102914914439250,4.61000487257495055525874723263612916233779E-8,-7.3362986155797020870750202448107302188873291015625
164,1.84623098291435023256617469194066232,4.52630657350246510953837421463612916233779E-8,-7.34425603397136494976393805700354278087615966796875
165,1.84623098209750707785633649323200926,4.44462225803148128966750890863612916233779E-8,-7.35216514318050595733211594051681458950042724609375
166,1.84623098130020160490236281095340494,4.36489171073608392143964847663612916233779E-8,-7.36002652630277420797710874467156827449798583984375
167,1.84623098052185313571159714770094021,4.28705686381700735511440200363612916233779E-8,-7.367840755939294439258446800522506237030029296875
168,1.84623097976190158019628033506092892,4.21106170826547567385040087463612916233779E-8,-7.3756083944470294255779663217253983020782470703125
169,1.84623097901980658956237965895125029,4.13685220920208560623943301163612916233779E-8,-7.3833299941817198686067058588378131389617919921875
170,1.84623097829504674925428871201110069,4.06437622517127651154541805163612916233779E-8,-7.39100609773366823418427884462289512157440185546875
171,1.84623097758711880938826386642503826,3.99358343118467402698681180863612916233779E-8,-7.3986372381566045675072018639184534549713134765625
172,1.84623097689553695072680288931663697,3.92442524531852792927597167963612916233779E-8,-7.406223939189896299239990185014903545379638671875
173,1.84623097621983208435797049729676694,3.85685475868164469007398467663612916233779E-8,-7.413766715474320534440266783349215984344482421875
174,1.84623097555955118334846330582415009,3.79082666858069397092672299163612916233779E-8,-7.421266072761614651653871987946331501007080078125
175,1.84623097491425664473744785873942433,3.72629721471959242621825041563612916233779E-8,-7.4287225081180441321748730842955410480499267578125
176,1.84623097428352568033034440227293334,3.66322411827888208057160131663612916233779E-8,-7.43613651012216081426231539808213710784912109375
177,1.84623097366694973483819446848179938,3.60156652372966708719248792063612916233779E-8,-7.44350855905697361691863989108242094516754150390625
178,1.84623097306413392998939283119080245,3.54128494324478692346338822763612916233779E-8,-7.45083912709670403984318909351713955402374267578125
179,1.84623097247469653331676464545026466,3.48234120357752410488933444863612916233779E-8,-7.45812867848832272699155510053969919681549072265625
180,1.84623097189826845039454388463826865,3.42469839528530202880813484763612916233779E-8,-7.46537766972802696585631565540097653865814208984375
181,1.84623097133449273936705291249444663,3.36832082418255293159375264563612916233779E-8,-7.47258654973283586997467864421196281909942626953125
182,1.84623097078302414667410243734826632,3.31317396491325788407913461463612916233779E-8,-7.4797557600074657813138401252217590808868408203125
183,1.84623097024352866293756831888432516,3.25922441653960447223274049863612916233779E-8,-7.4868857348066324419733064132742583751678466796875
184,1.84623096971568309802950741982510834,3.20643986004879838232681881663612916233779E-8,-7.4939769012929406954981459421105682849884033203125
