Eigenstate,E
1461,853808.0
1462,854977.2
1463,856147.2
1464,857318.0
1465,858489.6
1466,859662.0
1467,860835.2
1468,862009.2
1469,863184.0
1470,864359.6
1471,865536.0
1472,866713.2
1473,867891.2
1474,869070.0
1475,870249.6
1476,871430.0
1477,872611.2
1478,873793.2
1479,874976.0
1480,876159.6
1481,877344.0
1482,878529.2
1483,879715.2
1484,880902.0
1485,882089.6
1486,883278.0
1487,884467.2
1488,885657.2
1489,886848.0
1490,888039.6
1491,889232.0
1492,890425.2
1493,891619.2
1494,892814.0
1495,894009.6
1496,895206.0
1497,896403.2
1498,897601.2
1499,898800.0
1500,899999.6
1501,901200.0
1502,902401.2
1503,903603.2
1504,904806.0
1505,906009.6
1506,907214.0
1507,908419.2
1508,909625.2
1509,910832.0
1510,912039.6
1511,913248.0
1512,914457.2
1513,915667.2
1514,916878.0
1515,918089.6
1516,919302.0
1517,920515.2
1518,921729.2
1519,922944.0
1520,924159.6
1521,925376.0
1522,926593.2
1523,927811.2
1524,929030.0
1525,930249.6
1526,931470.0
1527,932691.2
1528,933913.2
1529,935136.0
1530,936359.6
1531,937584.0
1532,938809.2
1533,940035.2
1534,941262.0
1535,942489.6
1536,943718.0
1537,944947.2
1538,946177.2
1539,947408.0
1540,948639.6
1541,949872.0
1542,951105.2
1543,952339.2
1544,953574.0
1545,954809.6
1546,956046.0
1547,957283.2
1548,958521.2
1549,959760.0
1550,960999.6
1551,962240.0
1552,963481.2
1553,964723.2
1554,965966.0
1555,967209.6
1556,968454.0
1557,969699.2
1558,970945.2
1559,972192.0
1560,973439.6
1561,974688.0
1562,975937.2
1563,977187.2
1564,978438.0
1565,979689.6
1566,980942.0
1567,982195.2
1568,983449.2
1569,984704.0
1570,985959.6
1571,987216.0
1572,988473.2
1573,989731.2
1574,990990.0
1575,992249.6
1576,993510.0
1577,994771.2
1578,996033.2
1579,997296.0
1580,998559.6
1581,999824.0
1582,1001089.2
1583,1002355.2
1584,1003622.0
1585,1004889.6
1586,1006158.0
1587,1007427.2
1588,1008697.2
1589,1009968.0
1590,1011239.6
1591,1012512.0
1592,1013785.2
1593,1015059.2
1594,1016334.0
1595,1017609.6
1596,1018886.0
1597,1020163.2
1598,1021441.2
1599,1022720.0
1600,1023999.6
1601,1025280.0
1602,1026561.2
1603,1027843.2
1604,1029126.0
1605,1030409.6
1606,1031694.0
1607,1032979.2
1608,1034265.2
1609,1035552.0
1610,1036839.6
1611,1038128.0
1612,1039417.2
1613,1040707.2
1614,1041998.0
1615,1043289.6
1616,1044582.0
1617,1045875.2
1618,1047169.2
1619,1048464.0
1620,1049759.6
1621,1051056.0
1622,1052353.2
1623,1053651.2
1624,1054950.0
1625,1056249.6
1626,1057550.0
1627,1058851.2
1628,1060153.2
1629,1061456.0
1630,1062759.6
1631,1064064.0
1632,1065369.2
1633,1066675.2
1634,1067982.0
1635,1069289.6
1636,1070598.0
1637,1071907.2
1638,1073217.2
1639,1074528.0
1640,1075839.6
1641,1077152.0
1642,1078465.2
1643,1079779.2
1644,1081094.0
1645,1082409.6
1646,1083726.0
1647,1085043.2
1648,1086361.2
1649,1087680.0
1650,1088999.6
1651,1090320.0
1652,1091641.2
1653,1092963.2
1654,1094286.0
1655,1095609.6
1656,1096934.0
1657,1098259.2
1658,1099585.2
1659,1100912.0
1660,1102239.6
1661,1103568.0
1662,1104897.2
1663,1106227.2
1664,1107558.0
1665,1108889.6
1666,1110222.0
1667,1111555.2
1668,1112889.2
1669,1114224.0
1670,1115559.6
1671,1116896.0
1672,1118233.2
1673,1119571.2
1674,1120910.0
1675,1122249.6
1676,1123590.0
1677,1124931.2
1678,1126273.2
1679,1127616.0
1680,1128959.6
1681,1130304.0
1682,1131649.2
1683,1132995.2
1684,1134342.0
1685,1135689.6
1686,1137038.0
1687,1138387.2
1688,1139737.2
1689,1141088.0
1690,1142439.6
1691,1143792.0
1692,1145145.2
1693,1146499.2
1694,1147854.0
1695,1149209.6
1696,1150566.0
1697,1151923.2
1698,1153281.2
1699,1154640.0
1700,1155999.6
1701,1157360.0
1702,1158721.2
1703,1160083.2
1704,1161446.0
1705,1162809.6
1706,1164174.0
1707,1165539.2
1708,1166905.2
1709,1168272.0
1710,1169639.6
1711,1171008.0
1712,1172377.2
1713,1173747.2
1714,1175118.0
1715,1176489.6
1716,1177862.0
1717,1179235.2
1718,1180609.2
1719,1181984.0
1720,1183359.6
1721,1184736.0
1722,1186113.2
1723,1187491.2
1724,1188870.0
1725,1190249.6
1726,1191630.0
1727,1193011.2
1728,1194393.2
1729,1195776.0
1730,1197159.6
1731,1198544.0
1732,1199929.2
1733,1201315.2
1734,1202702.0
1735,1204089.6
1736,1205478.0
1737,1206867.2
1738,1208257.2
1739,1209648.0
1740,1211039.6
1741,1212432.0
1742,1213825.2
1743,1215219.2
1744,1216614.0
1745,1218009.6
1746,1219406.0
1747,1220803.2
1748,1222201.2
1749,1223600.0
1750,1224999.6
1751,1226400.0
1752,1227801.2
1753,1229203.2
1754,1230606.0
1755,1232009.6
1756,1233414.0
1757,1234819.2
1758,1236225.2
1759,1237632.0
1760,1239039.6
1761,1240448.0
1762,1241857.2
1763,1243267.2
1764,1244678.0
1765,1246089.6
1766,1247502.0
1767,1248915.2
1768,1250329.2
1769,1251744.0
1770,1253159.6
1771,1254576.0
1772,1255993.2
1773,1257411.2
1774,1258830.0
1775,1260249.6
1776,1261670.0
1777,1263091.2
1778,1264513.2
1779,1265936.0
1780,1267359.6
1781,1268784.0
1782,1270209.2
1783,1271635.2
1784,1273062.0
1785,1274489.6
1786,1275918.0
1787,1277347.2
1788,1278777.2
1789,1280208.0
1790,1281639.6
1791,1283072.0
1792,1284505.2
1793,1285939.2
1794,1287374.0
1795,1288809.6
1796,1290246.0
1797,1291683.2
1798,1293121.2
1799,1294560.0
1800,1295999.6
1801,1297440.0
1802,1298881.2
1803,1300323.2
1804,1301766.0
1805,1303209.6
1806,1304654.0
1807,1306099.2
1808,1307545.2
1809,1308992.0
1810,1310439.6
1811,1311888.0
1812,1313337.2
1813,1314787.2
1814,1316238.0
1815,1317689.6
1816,1319142.0
1817,1320595.2
1818,1322049.2
1819,1323504.0
1820,1324959.6
1821,1326416.0
1822,1327873.2
1823,1329331.2
1824,1330790.0
1825,1332249.6
1826,1333710.0
1827,1335171.2
1828,1336633.2
1829,1338096.0
1830,1339559.6
1831,1341024.0
1832,1342489.2
1833,1343955.2
1834,1345422.0
1835,1346889.6
1836,1348358.0
1837,1349827.2
1838,1351297.2
1839,1352768.0
1840,1354239.6
1841,1355712.0
1842,1357185.2
1843,1358659.2
1844,1360134.0
