Matrix size,Lowest energy,Difference,Log
883,0.500000000044585785987319207008566580,4.4585785987319207008566580E-11,10.350803572928212016155462564028145865497560518927
884,0.500000000044434690112350434587287829,4.4434690112350434587287829E-11,10.352277844256046788289596627910691587687213248065
885,0.500000000044284276194185385573163682,4.4284276194185385573163682E-11,10.353750449268674665580832677946471667088502426180
886,0.500000000044134540389727284174999639,4.4134540389727284174999639E-11,10.355221391728610501243513891609015448103129765040
887,0.500000000043985478881838939789939270,4.3985478881838939789939270E-11,10.356690675385639998823489392640579953905051227832
888,0.500000000043837087879138399245212117,4.3837087879138399245212117E-11,10.358158303976877056046980037701879262774521007367
889,0.500000000043689363615796433448907987,4.3689363615796433448907987E-11,10.359624281226820804859132408508128349614335864744
890,0.500000000043542302351335842298139302,4.3542302351335842298139302E-11,10.361088610847412326420218930186884801321419797903
891,0.500000000043395900370432560334697810,4.3395900370432560334697810E-11,10.362551296538091034843461007960544035917485722762
892,0.500000000043250153982718541772981933,4.3250153982718541772981933E-11,10.364012341985850764092446202080541292832655698515
893,0.500000000043105059522586410464587736,4.3105059522586410464587736E-11,10.365471750865295525438249462896138118369994027289
894,0.500000000042960613348995855001903854,4.2960613348995855001903854E-11,10.366929526838694958147544246882144019789216833295
895,0.500000000042816811845281751669206371,4.2816811845281751669206371E-11,10.368385673556039473201625291227060333395678604523
896,0.500000000042673651418963998166614347,4.2673651418963998166614347E-11,10.369840194655095089547450989165886634447665851756
897,0.500000000042531128501559042313101578,4.2531128501559042313101578E-11,10.371293093761457951187041656333305873670727021278
898,0.500000000042389239548393085173440174,4.2389239548393085173440174E-11,10.372744374488608563761663566624398676954841976557
899,0.500000000042247981038416946079893433,4.2247981038416946079893433E-11,10.374194040437965709687947649334335638743588504246
900,0.500000000042107349474022569723753778,4.2107349474022569723753778E-11,10.375642095198940076895749583708506157720433488936
901,0.500000000041967341380861162004249615,4.1967341380861162004249615E-11,10.377088542348987571600052048110392886495936125307
902,0.500000000041827953307662933624524537,4.1827953307662933624524537E-11,10.378533385453662366486579901818031785982917808314
903,0.500000000041689181826058442358114012,4.1689181826058442358114012E-11,10.379976628066669614547347402677648337010741749867
904,0.500000000041551023530401510053422009,4.1551023530401510053422009E-11,10.381418273729917913992528548853312912685760488796
905,0.500000000041413475037593706137975567,4.1413475037593706137975567E-11,10.382858325973571449136898295963721729216964345598
