Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
1255,0.500000000015532998989442676740269456,1.5532998989442676740269456E-11,-10.808744686008385116338104126043617725372314453125,1.84623093775250591138503785114010253,1.013913915375249756487217616424853008326E-10,-9.993998916466747317599583766423165798187255859375,3.93633761000280407358411638862707417,2.978188717399171805749955524775511484354E-10,-9.526047785990048311077771359123289585113525390625,6.79966527843458072760087982109891072,6.202900613645480240498180560131571043445E-10,-9.2074051772891909450891034794040024280548095703125
1256,0.500000000015495934655234249384691389,1.5495934655234249384691389E-11,-10.8097822236603331447213349747471511363983154296875,1.84623093775226397508630501460701167,1.011494552387921391156309016424853008326E-10,-9.9950364518691880988399134366773068904876708984375,3.93633761000209340686738333482945941,2.971082050231841267773807924775511484354E-10,-9.5270853544329963114023485104553401470184326171875,6.79966527843310049465326424054959344,6.188098284169324435005007760131571043445E-10,-9.208442797116589417782961390912532806396484375
1257,0.500000000015458988149343928446690006,1.5458988149343928446690006E-11,-10.81081893574354779730128939263522624969482421875,1.84623093775202280790964988679624597,1.009082880621370113048652016424853008326E-10,-9.9960731616934399568208391428925096988677978515625,3.93633761000138499938570492020914675,2.963997975415057121570681324775511484354E-10,-9.52812209734128146010334603488445281982421875,6.79966527843162496743718679457826814,6.173343012008549975291754760131571043445E-10,-9.2094795914787237478549286606721580028533935546875
1258,0.500000000015422159003920115413160602,1.5422159003920115413160602E-11,-10.811854823570808292743095080368220806121826171875,1.84623093775178240680117367497422912,1.006678869536607994828483516424853008326E-10,-9.9971090472522892156348461867310106754302978515625,3.93633761000067884216846623261302000,2.956936403242670245609413824775511484354E-10,-9.5291580160277522537626282428391277790069580078125,6.79966527843015412726778496094805866,6.158634610314531638989659960131571043445E-10,-9.2105155616885188152309638098813593387603759765625
1259,0.500000000015385446753338637009880623,1.5385446753338637009880623E-11,-10.812889888451767461674535297788679599761962890625,1.84623093775154276872151712568787326,1.004282488740042501964924916424853008326E-10,-9.9981441098553940349802360287867486476898193359375,3.93633760999997492628776140584638182,2.949897244435621977943032024775511484354E-10,-9.5301931118021183664268392021767795085906982421875,6.79966527842868795554915520988428179,6.143972893128234128351891260131571043445E-10,-9.2115507090557766645133597194217145442962646484375
1260,0.500000000015348850934190381713408164,1.5348850934190381713408164E-11,-10.8139241316929588521134064649231731891632080078125,1.84623093775130389064577982768399274,1.001893707982669521926119716424853008326E-10,-9.9991783508092932919453232898376882076263427734375,3.93633760999927324285815658052636170,2.942880410139573724742830824775511484354E-10,-9.5312273859709790713168331421911716461181640625,6.79966527842722643377385926896007495,6.129357675375274719109822860131571043445E-10,-9.2125850348871747286239042296074330806732177734375
1261,0.500000000015312371085269016832068932,1.5312371085269016832068932E-11,-10.814957554597807387608554563485085964202880859375,1.84623093775106576956344002961298459,9.99512497159271541216038216424853008326E-11,-10.00021177141741901550631155259907245635986328125,3.93633760999857378303645436737965093,2.935885811922551593275723124775511484354E-10,-9.5322608398378196881139956531114876270294189453125,6.79966527842576954352243351988975461,6.114788772861017228406619460131571043445E-10,-9.2136185404862889214427923434413969516754150390625
1262,0.500000000015276006747558781052280944,1.5276006747558781052280944E-11,-10.815990158466636472667232737876474857330322265625,1.84623093775082840247827496267125755,9.97138826307620871798767816424853008326E-11,-10.00124437298010349195465096272528171539306640625,3.93633760999787653802145980069421937,2.928913361772605926421407524775511484354E-10,-9.5332934747030293465286376886069774627685546875,6.79966527842431726646290150047522882,6.100266002265697034261361560131571043445E-10,-9.21465122715358830873810802586376667022705078125
1263,0.500000000015239757464222357358667806,1.5239757464222357358667806E-11,-10.8170219445966839799666558974422514438629150390625,1.84623093775059178640828166946710919,9.94772665607687939757284216424853008326E-11,-10.00227615679458637032439582981169223785400390625,3.93633760999718149905374777606134306,2.921962972095485680092644424775511484354E-10,-9.534325291863904539013674366287887096405029296875,6.79966527842286958435028949060936654,6.085789181139576935602738760131571043445E-10,-9.215683096186456424447897006757557392120361328125
1264,0.500000000015203622780588818916597363,1.5203622780588818916597363E-11,-10.818052914282105803067679516971111297607421875,1.84623093775035591838559833132975474,9.92413985380854558383739716424853008326E-11,-10.003307124155032425960598629899322986602783203125,3.93633760999648865741543195543387685,2.915034555712327473817982324775511484354E-10,-9.5353562926146651079761795699596405029296875,6.79966527842142647902614516460000258,6.071358127898133675509099160131571043445E-10,-9.21671414887919837610752438195049762725830078125
1265,0.500000000015167602244141654348249301,1.5167602244141654348249301E-11,-10.81908306881398829091267543844878673553466796875,1.84623093775012079545642609549374321,9.90062756089132200023624416424853008326E-11,-10.004337276352533336876149405725300312042236328125,3.93633760999579800442993513369805899,2.908128025857359256459803724775511484354E-10,-9.5363864782464577984910647501237690448760986328125,6.79966527841998793241805928200563825,6.056972661817274849565455860131571043445E-10,-9.21774438652304439756335341371595859527587890625
