Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Log(Original - Constant),Error,Formula
736,0.20832141853834402,0.2073839593347466,0.00189472946417088,-2.7224527912923793,0.004520403634903259,0.00283exp(-x^-23.60880) + 0.20549
737,0.20832141853834402,0.2073825257451328,0.0018932958745570827,-2.7227815114210143,0.004527347662671869,0.00283exp(-x^-23.60880) + 0.20549
738,0.20832141853834402,0.207381094834384,0.0018918649638082763,-2.723109865590595,0.004534278810279072,0.00283exp(-x^-23.60880) + 0.20549
739,0.20832141853834402,0.2073796665406866,0.0018904366701108788,-2.7234378669827843,0.004541197376612879,0.00283exp(-x^-23.60880) + 0.20549
740,0.20832141853834402,0.207378240866899,0.0018890109963232704,-2.723765513952906,0.0045481033473052995,0.00283exp(-x^-23.60880) + 0.20549
741,0.20832141853834402,0.2073768178206708,0.001887587950095082,-2.7240928037511676,0.004554996684779203,0.00283exp(-x^-23.60880) + 0.20549
742,0.20832141853834402,0.2073753973781179,0.001886167507542169,-2.7244197408824413,0.004561877504211369,0.00283exp(-x^-23.60880) + 0.20549
743,0.20832141853834402,0.2073739795357288,0.0018847496651530904,-2.724746325173001,0.0045687458220956415,0.00283exp(-x^-23.60880) + 0.20549
744,0.20832141853834402,0.2073725642849498,0.0018833344143740771,-2.725072557613554,0.0045756016793542876,0.00283exp(-x^-23.60880) + 0.20549
745,0.20832141853834402,0.2073711516175226,0.001881921746946874,-2.7253984391317827,0.004582445115481183,0.00283exp(-x^-23.60880) + 0.20549
746,0.20832141853834402,0.2073697415253277,0.0018805116547519762,-2.725723970628295,0.004589276169301134,0.00283exp(-x^-23.60880) + 0.20549
747,0.20832141853834402,0.2073683339992948,0.0018791041287190835,-2.7260491532283186,0.004596094884248123,0.00283exp(-x^-23.60880) + 0.20549
748,0.20832141853834402,0.2073669290052299,0.0018776991346541871,-2.726373993873496,0.004602901425472904,0.00283exp(-x^-23.60880) + 0.20549
749,0.20832141853834402,0.2073655266145728,0.0018762967439970857,-2.7266984750779897,0.00460969544637916,0.00283exp(-x^-23.60880) + 0.20549
750,0.20832141853834402,0.2073641267390265,0.0018748968684507705,-2.727022616306702,0.004616477374229276,0.00283exp(-x^-23.60880) + 0.20549
751,0.20832141853834402,0.2073627293824277,0.0018734995118519782,-2.727346415727386,0.004623247189943485,0.00283exp(-x^-23.60880) + 0.20549
752,0.20832141853834402,0.2073613345811573,0.0018721047105815791,-2.727669863954755,0.004630004716771152,0.00283exp(-x^-23.60880) + 0.20549
753,0.20832141853834402,0.2073599422826608,0.0018707124120850849,-2.727992972224416,0.004636750208835349,0.00283exp(-x^-23.60880) + 0.20549
754,0.20832141853834402,0.2073585524932642,0.0018693226226884907,-2.728315738128007,0.004643483635000226,0.00283exp(-x^-23.60880) + 0.20549
755,0.20832141853834402,0.2073571652059739,0.0018679353353981687,-2.728638162348883,0.004650205028663026,0.00283exp(-x^-23.60880) + 0.20549
