Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Error,Formula
105,0.2116473185875399,0.210579207344755,0.005089207344754987,0.0050722540760457365,0.15552exp(-x^0.25187) + 0.20549
106,0.21159997582579082,0.2105550118753949,0.005065011875394904,0.004962902288995683,0.15552exp(-x^0.25187) + 0.20549
107,0.2115533262171107,0.2105311727916388,0.005041172791638793,0.004855116759756635,0.15552exp(-x^0.25187) + 0.20549
108,0.21150735410539057,0.2105076812806119,0.005017681280611891,0.0047488662584529665,0.15552exp(-x^0.25187) + 0.20549
109,0.21146204431795967,0.2104845288184764,0.004994528818476396,0.004644120425241752,0.15552exp(-x^0.25187) + 0.20549
110,0.21141738214660763,0.2104617071849364,0.004971707184936391,0.004540849613233746,0.15552exp(-x^0.25187) + 0.20549
111,0.21137335332951,0.2104392084292761,0.004949208429276097,0.004439024966907868,0.15552exp(-x^0.25187) + 0.20549
112,0.2113299440340068,0.2104170248655979,0.004927024865597901,0.004338618365087148,0.15552exp(-x^0.25187) + 0.20549
113,0.21128714084018704,0.2103951490676124,0.0049051490676123854,0.004239602369767575,0.15552exp(-x^0.25187) + 0.20549
114,0.2112449307252348,0.2103735738476795,0.004883573847679484,0.004141950253629289,0.15552exp(-x^0.25187) + 0.20549
115,0.21120330104849502,0.2103522922527076,0.004862292252707595,0.004045635950403904,0.15552exp(-x^0.25187) + 0.20549
116,0.21116223953722113,0.2103312975450522,0.004841297545052192,0.003950634079984921,0.15552exp(-x^0.25187) + 0.20549
117,0.21112173427296654,0.210310583221745,0.004820583221745001,0.0038569197935525872,0.15552exp(-x^0.25187) + 0.20549
118,0.21108177367858738,0.2102901429431507,0.004800142943150704,0.003764469053838053,0.15552exp(-x^0.25187) + 0.20549
119,0.21104234650582282,0.21026997062374,0.004779970623739999,0.00367325814424027,0.15552exp(-x^0.25187) + 0.20549
120,0.2110034418234242,0.2102500603262227,0.004760060326222698,0.0035832641190806677,0.15552exp(-x^0.25187) + 0.20549
121,0.21096504900580312,0.2102304063087104,0.004740406308710393,0.0034944645258114895,0.15552exp(-x^0.25187) + 0.20549
122,0.21092715772217308,0.2102110030022542,0.004721003002254198,0.003406837461839195,0.15552exp(-x^0.25187) + 0.20549
123,0.21088975792615855,0.2101918450090745,0.004701845009074501,0.0033203615347394276,0.15552exp(-x^0.25187) + 0.20549
124,0.21085283984584857,0.2101729270864921,0.004682927086492095,0.0032350158927779886,0.15552exp(-x^0.25187) + 0.20549
125,0.21081639397427177,0.2101542441542275,0.004664244154227504,0.0031507801458357343,0.15552exp(-x^0.25187) + 0.20549
126,0.21078041106027262,0.2101357912769021,0.004645791276902095,0.0030676344065589754,0.15552exp(-x^0.25187) + 0.20549
127,0.2107448820997686,0.2101175636663982,0.004627563666398188,0.002985559238476602,0.15552exp(-x^0.25187) + 0.20549
128,0.21070979832736964,0.2100995566691027,0.0046095566691027046,0.00290453567795018,0.15552exp(-x^0.25187) + 0.20549
129,0.2106751512083424,0.2100817657717132,0.004591765771713191,0.002824545169112931,0.15552exp(-x^0.25187) + 0.20549
130,0.2106409324309025,0.2100641865808706,0.004574186580870582,0.0027455696252625507,0.15552exp(-x^0.25187) + 0.20549
131,0.2106071338988193,0.2100468148348598,0.004556814834859785,0.0026675913386262702,0.15552exp(-x^0.25187) + 0.20549
132,0.21057374772431772,0.2100296463868032,0.004539646386803181,0.0025905930275790007,0.15552exp(-x^0.25187) + 0.20549
133,0.21054076622126408,0.2100126772090143,0.004522677209014281,0.00251455778416755,0.15552exp(-x^0.25187) + 0.20549
134,0.21050818189862158,0.2099959033768771,0.004505903376877091,0.0024394691206194906,0.15552exp(-x^0.25187) + 0.20549
135,0.21047598745416346,0.209979320975015,0.004489320975015004,0.0023653113880082845,0.15552exp(-x^0.25187) + 0.20549
136,0.210444175768432,0.2099629266235055,0.004472926623505485,0.0022920672361814386,0.15552exp(-x^0.25187) + 0.20549
137,0.21041273989893158,0.2099467163853656,0.0044567163853656,0.0022197228020016876,0.15552exp(-x^0.25187) + 0.20549
