Matrix size,Coefficient,Coefficient Difference,R square
132,0.21002964638680324,-1.7168448056631425e-05,0.9993124790924164
133,0.2100126772090143,-1.696917778895579e-05,0.9993131220339866
134,0.20999590337687712,-1.6773832137162437e-05,0.9993137386729886
135,0.20997932097501504,-1.658240186208637e-05,0.9993143300452701
136,0.20996292662350557,-1.6394351509463334e-05,0.9993148971434359
137,0.20994671638536566,-1.621023813991318e-05,0.999315440918855
138,0.20993068685671365,-1.6029528652011793e-05,0.9993159622835651
139,0.20991483461930782,-1.5852237405827863e-05,0.9993164621120775
140,0.2098991563478068,-1.5678271501035068e-05,0.99931694124309
141,0.20988364879870378,-1.5507549103010998e-05,0.9993174004811131
142,0.20986830881498741,-1.533998371636147e-05,0.9993178405980115
143,0.20985313332301134,-1.5175491976077149e-05,0.9993182623344714
144,0.20983811932497545,-1.5013998035884324e-05,0.9993186664013906
145,0.20982326389942013,-1.4855425555321267e-05,0.9993190534812023
146,0.20980856419858382,-1.4699700836312557e-05,0.9993194242291318
147,0.20979401745144066,-1.4546747143157068e-05,0.9993197792743916
148,0.20977962094188626,-1.4396509554398529e-05,0.9993201192213186
149,0.2097653720417043,-1.424890018195124e-05,0.999320444650455
150,0.2097512681028586,-1.4103938845710928e-05,0.9993207561195778
151,0.2097373068091093,-1.3961293749309434e-05,0.9993210541646785
152,0.20972348554172415,-1.3821267385139002e-05,0.9993213393008952
153,0.20970980189160382,-1.3683650120333013e-05,0.9993216120234016
154,0.20969625360373553,-1.3548287868286879e-05,0.999321872808253
155,0.20968283837279272,-1.3415230942809275e-05,0.9993221221131927
156,0.2096695539660542,-1.3284406738534038e-05,0.9993223603784209
157,0.2096563982174133,-1.31557486408862e-05,0.9993225880273271
158,0.20964336899709335,-1.302922031995446e-05,0.9993228054671899
159,0.20963046422885956,-1.2904768233790165e-05,0.9993230130898428
160,0.20961768183113283,-1.27823977267294e-05,0.999323211272311
161,0.20960501999276765,-1.2661838365179978e-05,0.9993234003774185
162,0.20959247660607025,-1.2543386697400072e-05,0.9993235807543671
163,0.2095800498371549,-1.2426768915357878e-05,0.9993237527392905
164,0.2095677378287636,-1.2312008391301976e-05,0.999323916655783
165,0.20955553877755373,-1.2199051209860201e-05,0.9993240728154036
166,0.2095434509104214,-1.208786713233212e-05,0.9993242215181591
167,0.20953147240929615,-1.1978501125248231e-05,0.9993243630529656
168,0.20951960184320637,-1.1870566089783319e-05,0.9993244976980883
169,0.2095078372922917,-1.1764550914672434e-05,0.9993246257215639
170,0.20949617722670325,-1.166006558844801e-05,0.9993247473816035
171,0.20948462014771507,-1.1557078988172487e-05,0.9993248629269781
172,0.2094731642994806,-1.1455848234476207e-05,0.9993249725973876
173,0.20946180822223287,-1.1356077247726137e-05,0.9993250766238141
174,0.2094505505542902,-1.1257667942660143e-05,0.9993251752288596
175,0.20943938980756305,-1.1160746727162385e-05,0.9993252686270698
176,0.20942832442471948,-1.1065382843566951e-05,0.999325357025244
177,0.2094173531405964,-1.0971284123084679e-05,0.999325440622732
178,0.20940647454371217,-1.0878596884228431e-05,0.9993255196117178
179,0.20939568729126884,-1.0787252443328343e-05,0.9993255941774927
180,0.2093849900677858,-1.0697223483041585e-05,0.9993256644987164
181,0.20937438159160862,-1.0608476177176307e-05,0.9993257307476666
182,0.20936386059541276,-1.0520996195861887e-05,0.9993257930904796
183,0.20935342584829972,-1.0434747113041709e-05,0.9993258516873802
184,0.20934307613503272,-1.0349713266993854e-05,0.9993259066929018
185,0.20933281026675854,-1.0265868274184076e-05,0.9993259582560987
186,0.2093226270851543,-1.0183181604228597e-05,0.9993260065207493
187,0.20931252544042486,-1.0101644729448855e-05,0.9993260516255501
188,0.20930250421769211,-1.0021222732747859e-05,0.9993260937043034
189,0.2092925623166221,-9.941901070009695e-06,0.9993261328860967
190,0.20928269866090896,-9.863655713149289e-06,0.999326169295475
191,0.20927291219279312,-9.7864681158355e-06,0.9993262030526062
192,0.20926320187694195,-9.710315851174656e-06,0.9993262342734401
193,0.20925356669378783,-9.635183154110827e-06,0.9993262630698614
194,0.20924400567200052,-9.561021787313218e-06,0.9993262895498358
195,0.20923451775805674,-9.487913943784232e-06,0.9993263138175513
196,0.2092251020634916,-9.415694565140242e-06,0.9993263359735539
197,0.20921575762122033,-9.344442271269626e-06,0.9993263561148771
198,0.2092064835031439,-9.274118076441074e-06,0.9993263743351677
199,0.209197278802181,-9.204700962883727e-06,0.9993263907248059
200,0.20918814262297605,-9.136179204949357e-06,0.999326405371021
201,0.20917907409007425,-9.06853290180698e-06,0.9993264183580028
202,0.2091700723410054,-9.001749068843212e-06,0.9993264297670086
203,0.20916113653245488,-8.935808550519786e-06,0.9993264396764658
204,0.20915226583292765,-8.870699527235848e-06,0.999326448162072
205,0.2091434594248842,-8.806408043460223e-06,0.9993264552968893
206,0.20913471650940482,-8.74291547936501e-06,0.9993264611514369
207,0.2091260362969987,-8.680212406131371e-06,0.9993264657937788
208,0.20911741801352035,-8.618283478339928e-06,0.9993264692896092
209,0.20910886089974642,-8.557113773927094e-06,0.9993264717023347
210,0.2091003642073603,-8.496692386117388e-06,0.9993264730931524
211,0.20909192723449643,-8.436972863873349e-06,0.9993264735211266
212,0.2090835491646984,-8.378069798031795e-06,0.9993264730432616
213,0.20907522938415277,-8.319780545634758e-06,0.9993264717145723
214,0.20906696715957931,-8.262224573452048e-06,0.9993264695881522
215,0.20905876180756292,-8.205352016399381e-06,0.9993264667152383
216,0.20905061265466687,-8.149152896042011e-06,0.9993264631452752
217,0.2090425190363849,-8.093618281967974e-06,0.9993264589259748
218,0.20903448029956653,-8.038736818372083e-06,0.999326454103376
219,0.20902649580452218,-7.984495044355278e-06,0.9993264487218999
220,0.20901856492020585,-7.93088431633171e-06,0.9993264428244054
221,0.20901068702555117,-7.877894654673145e-06,0.9993264364522415
222,0.20900286150948483,-7.825516066345406e-06,0.9993264296452974
223,0.20899508777424589,-7.773735238941759e-06,0.9993264224420517
224,0.20898736527185413,-7.72250239175487e-06,0.9993264148796202
225,0.2089796932831148,-7.671988739327285e-06,0.9993264069937999
226,0.20897207137507842,-7.6219080363815195e-06,0.9993263988191146
227,0.2089644989388688,-7.572436209635214e-06,0.9993263903888557
228,0.2089569754203476,-7.523518521179717e-06,0.9993263817351241
229,0.20894950027212447,-7.4751482231349975e-06,0.9993263728888694
230,0.20894207290005107,-7.427372073404159e-06,0.9993263638799276
231,0.20893469295514966,-7.379944901408919e-06,0.9993263547370582
232,0.20892735973617982,-7.333218969840516e-06,0.9993263454879796
233,0.2089200727921126,-7.286944067208534e-06,0.9993263361594035
234,0.20891283161743335,-7.241174679262219e-06,0.9993263267770676
235,0.2089056357169271,-7.195900506240527e-06,0.9993263173657679
236,0.20889848460049318,-7.15111643392885e-06,0.9993263079493897
237,0.20889137778758213,-7.106812911050753e-06,0.9993262985509369
238,0.20888431475655844,-7.063031023685218e-06,0.9993262891925611
239,0.20887729518003087,-7.01957652757268e-06,0.9993262798955895
240,0.20887031845945409,-6.976720576784556e-06,0.9993262706805516
241,0.2088633841728753,-6.9342865787747066e-06,0.9993262615672053
242,0.20885649191697975,-6.892255895563082e-06,0.999326252574562
243,0.20884964124186445,-6.850675115299687e-06,0.9993262437209107
244,0.2088428316291031,-6.80961276133818e-06,0.9993262350238417
245,0.2088360627260688,-6.76890303430433e-06,0.999326226500269
246,0.20882933415475494,-6.728571313868725e-06,0.9993262181664527
247,0.2088226454233639,-6.688731391035763e-06,0.9993262100380194
248,0.20881599615271265,-6.649270651248873e-06,0.9993262021299834
249,0.20880938593580006,-6.6102169125892285e-06,0.9993261944567662
250,0.2088028143778303,-6.5715579697644966e-06,0.9993261870322158
251,0.20879628105256443,-6.5333252658728025e-06,0.9993261798696248
252,0.2087897856757481,-6.495376816323395e-06,0.999326172981749
253,0.2087833277668015,-6.457908946599922e-06,0.9993261663808243
