Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
39,0.2130750354177699,0.2140983441271848,-0.0047796199152619024,0.25400 * exp(-x^0.36775) + 0.20765
40,0.21288340747511314,0.2139755519943311,-0.005104062165227633,0.25400 * exp(-x^0.36775) + 0.20765
41,0.21270140087873943,0.2138579765066187,-0.005408148186810673,0.25400 * exp(-x^0.36775) + 0.20765
42,0.21252837015540607,0.213745264354646,-0.0056931984103322925,0.25400 * exp(-x^0.36775) + 0.20765
43,0.21236372469670775,0.2136370943349333,-0.0059604332393194065,0.25400 * exp(-x^0.36775) + 0.20765
44,0.21220692309449574,0.2135331737450686,-0.0062109817753949964,0.25400 * exp(-x^0.36775) + 0.20765
45,0.21205746816401128,0.2134332353120499,-0.006445889957237435,0.25400 * exp(-x^0.36775) + 0.20765
46,0.2119149025589735,0.2133370339989243,-0.006666125488357495,0.25400 * exp(-x^0.36775) + 0.20765
47,0.21177880489786122,0.2132443456262724,-0.006872588926599987,0.25400 * exp(-x^0.36775) + 0.20765
48,0.2116487863330249,0.2131549637943084,-0.007066114879393328,0.25400 * exp(-x^0.36775) + 0.20765
49,0.2115244875045528,0.2130686985231001,-0.007247479471415061,0.25400 * exp(-x^0.36775) + 0.20765
50,0.21140557582938774,0.2129853745985939,-0.007417404937703145,0.25400 * exp(-x^0.36775) + 0.20765
51,0.2112917430833606,0.2129048300789408,-0.007576563645747669,0.25400 * exp(-x^0.36775) + 0.20765
52,0.21118270323982474,0.2128269151188369,-0.007725582443809154,0.25400 * exp(-x^0.36775) + 0.20765
53,0.21107819053364524,0.2127514907612471,-0.007865045841110805,0.25400 * exp(-x^0.36775) + 0.20765
54,0.2109779577235811,0.2126784280291683,-0.007995499690988823,0.25400 * exp(-x^0.36775) + 0.20765
55,0.21088177452973225,0.2126076069840854,-0.008117453927611982,0.25400 * exp(-x^0.36775) + 0.20765
56,0.21078942622581123,0.2125389159274834,-0.008231385269082063,0.25400 * exp(-x^0.36775) + 0.20765
57,0.210700712368637,0.2124722507409852,-0.008337739945663752,0.25400 * exp(-x^0.36775) + 0.20765
58,0.2106154456495016,0.2124075141964397,-0.008436935735148884,0.25400 * exp(-x^0.36775) + 0.20765
59,0.21053345085399514,0.212344615421698,-0.008529364232316629,0.25400 * exp(-x^0.36775) + 0.20765
60,0.21045456391853795,0.2122834693535135,-0.008615392618866097,0.25400 * exp(-x^0.36775) + 0.20765
61,0.2103786310733038,0.212223996307915,-0.008695365588789373,0.25400 * exp(-x^0.36775) + 0.20765
62,0.2103055080624568,0.2121661214515973,-0.008769606459365762,0.25400 * exp(-x^0.36775) + 0.20765
63,0.21023505943370133,0.2121097746314629,-0.008838419639165,0.25400 * exp(-x^0.36775) + 0.20765
64,0.2101671578900752,0.212054889806222,-0.008902090953299075,0.25400 * exp(-x^0.36775) + 0.20765
65,0.21010168369773052,0.2120014048458856,-0.008960889431539696,0.25400 * exp(-x^0.36775) + 0.20765
66,0.21003852414415422,0.2119492612314436,-0.009015068399803886,0.25400 * exp(-x^0.36775) + 0.20765
67,0.20997757304190048,0.2118984037724043,-0.009064866446879578,0.25400 * exp(-x^0.36775) + 0.20765
68,0.2099187302734494,0.2118487803829135,-0.009110508476733057,0.25400 * exp(-x^0.36775) + 0.20765
