Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
51,0.21497575720522377,0.2129048300789408,0.009727008661640633,-108.59067 x^0.00003 + 108.81698
52,0.214919790782929,0.2128269151188369,0.00983369825627319,-108.59067 x^0.00003 + 108.81698
53,0.21486489042479207,0.2127514907612471,0.00993365384178034,-108.59067 x^0.00003 + 108.81698
54,0.21481101627492194,0.2126784280291683,0.010027289864401063,-108.59067 x^0.00003 + 108.81698
55,0.21475813067156935,0.2126076069840854,0.010114989383446295,-108.59067 x^0.00003 + 108.81698
56,0.21470619798891732,0.2125389159274834,0.010197106972039858,-108.59067 x^0.00003 + 108.81698
57,0.21465518449306842,0.2124722507409852,0.010273971045491196,-108.59067 x^0.00003 + 108.81698
58,0.2146050582102106,0.2124075141964397,0.010345886406535288,-108.59067 x^0.00003 + 108.81698
59,0.21455578880646442,0.212344615421698,0.01041313612014708,-108.59067 x^0.00003 + 108.81698
60,0.21450734747743638,0.2122834693535135,0.010475983507785445,-108.59067 x^0.00003 + 108.81698
61,0.21445970684720805,0.212223996307915,0.010534673638174603,-108.59067 x^0.00003 + 108.81698
62,0.21441284087542556,0.2121661214515973,0.01058943533706825,-108.59067 x^0.00003 + 108.81698
63,0.2143667247717076,0.2121097746314629,0.010640481534460618,-108.59067 x^0.00003 + 108.81698
64,0.21432133491695993,0.212054889806222,0.010688011546486978,-108.59067 x^0.00003 + 108.81698
65,0.21427664879080055,0.2120014048458856,0.010732211640620734,-108.59067 x^0.00003 + 108.81698
66,0.2142326449042855,0.2119492612314436,0.010773256106557126,-108.59067 x^0.00003 + 108.81698
67,0.21418930273806325,0.2118984037724043,0.01081130827261711,-108.59067 x^0.00003 + 108.81698
68,0.21414660268477803,0.2118487803829135,0.01084652126725138,-108.59067 x^0.00003 + 108.81698
69,0.21410452599579344,0.2118003418582871,0.010879038802723116,-108.59067 x^0.00003 + 108.81698
70,0.2140630547318949,0.2117530415966829,0.01090899624295264,-108.59067 x^0.00003 + 108.81698
71,0.21402217171724658,0.2117068357337149,0.01093651971844644,-108.59067 x^0.00003 + 108.81698
72,0.21398186049671608,0.2116616825509973,0.010961728725556025,-108.59067 x^0.00003 + 108.81698
73,0.21394210529611257,0.2116175424035587,0.010984736265960788,-108.59067 x^0.00003 + 108.81698
74,0.21390289098515325,0.211574377846784,0.011005648047115981,-108.59067 x^0.00003 + 108.81698
75,0.21386420304280307,0.2115321533317724,0.011024563756853718,-108.59067 x^0.00003 + 108.81698
76,0.2138260275251156,0.2114908350172227,0.011041577795570736,-108.59067 x^0.00003 + 108.81698
77,0.21378835103494964,0.2114503907614505,0.011056779157891125,-108.59067 x^0.00003 + 108.81698
78,0.2137511606938034,0.2114107899981707,0.011070251880960993,-108.59067 x^0.00003 + 108.81698
79,0.2137144441153822,0.2113720035992218,0.011082075564755716,-108.59067 x^0.00003 + 108.81698
80,0.2136781893807722,0.2113340038648106,0.011092325291206663,-108.59067 x^0.00003 + 108.81698
81,0.2136423850153193,0.2112967643280512,0.0111010724405906,-108.59067 x^0.00003 + 108.81698
82,0.21360701996674436,0.2112602597860371,0.011108384431052202,-108.59067 x^0.00003 + 108.81698
83,0.2135720835846655,0.21122446617943,0.011114325190157018,-108.59067 x^0.00003 + 108.81698
84,0.21353756560141335,0.2111893605011346,0.011118955494285584,-108.59067 x^0.00003 + 108.81698
85,0.21350345611381272,0.211154920815664,0.011122332783326225,-108.59067 x^0.00003 + 108.81698
86,0.2134697455662149,0.2111211262159618,0.011124511281029408,-108.59067 x^0.00003 + 108.81698
87,0.2134364247343683,0.2110879563252323,0.011125544299256983,-108.59067 x^0.00003 + 108.81698
88,0.21340348471034076,0.2110553922087081,0.011125479794947378,-108.59067 x^0.00003 + 108.81698
89,0.2133709168880955,0.2110234153642551,0.011124365131652858,-108.59067 x^0.00003 + 108.81698
90,0.21333871295014717,0.210992008169107,0.011122244872703106,-108.59067 x^0.00003 + 108.81698
91,0.21330686485472938,0.2109611536582367,0.011119161778441945,-108.59067 x^0.00003 + 108.81698
92,0.21327536482368714,0.2109308356684362,0.011115156054927494,-108.59067 x^0.00003 + 108.81698
93,0.21324420533119337,0.2109010386332817,0.011110266279845205,-108.59067 x^0.00003 + 108.81698
94,0.21321337909292026,0.2108717475776879,0.01110452937451794,-108.59067 x^0.00003 + 108.81698
95,0.21318287905570799,0.2108429481396793,0.011097980447885453,-108.59067 x^0.00003 + 108.81698
96,0.21315269838805762,0.2108146266794428,0.011090652225805903,-108.59067 x^0.00003 + 108.81698
97,0.21312283047083724,0.2107867697840864,0.011082577379708086,-108.59067 x^0.00003 + 108.81698
98,0.21309326888849967,0.2107593647603388,0.011073786120084512,-108.59067 x^0.00003 + 108.81698
99,0.21306400742103904,0.2107323993470188,0.01106430753526763,-108.59067 x^0.00003 + 108.81698
100,0.21303504003586227,0.210705861746731,0.011054169399097877,-108.59067 x^0.00003 + 108.81698
101,0.2130063608805699,0.2106797405884993,0.01104339831429239,-108.59067 x^0.00003 + 108.81698
102,0.21297796427563753,0.2106540249291329,0.0110320196696286,-108.59067 x^0.00003 + 108.81698
103,0.2129498447078788,0.2106287042149382,0.011020057791230452,-108.59067 x^0.00003 + 108.81698
104,0.21292199682380897,0.2106037682300529,0.011007536157775496,-108.59067 x^0.00003 + 108.81698
105,0.2128944154237331,0.210579207344755,0.010994476179159106,-108.59067 x^0.00003 + 108.81698
106,0.21286709545576343,0.2105550118753949,0.010980900239680827,-108.59067 x^0.00003 + 108.81698
107,0.21284003201031965,0.2105311727916388,0.010966828275667799,-108.59067 x^0.00003 + 108.81698
108,0.2128132203148425,0.2105076812806119,0.010952279841785316,-108.59067 x^0.00003 + 108.81698
109,0.21278665572877742,0.2104845288184764,0.010937273742748048,-108.59067 x^0.00003 + 108.81698
110,0.2127603337386148,0.2104617071849364,0.010921827939267655,-108.59067 x^0.00003 + 108.81698
111,0.2127342499535132,0.2104392084292761,0.010905959689581364,-108.59067 x^0.00003 + 108.81698
112,0.2127084001006807,0.2104170248655979,0.010889685549666883,-108.59067 x^0.00003 + 108.81698
113,0.21268278002125385,0.2103951490676124,0.010873021378008604,-108.59067 x^0.00003 + 108.81698
114,0.2126573856663896,0.2103735738476795,0.010855982417086688,-108.59067 x^0.00003 + 108.81698
115,0.21263221309325786,0.2103522922527076,0.01083858329345547,-108.59067 x^0.00003 + 108.81698
116,0.21260725846144624,0.2103312975450522,0.010820838091898972,-108.59067 x^0.00003 + 108.81698
117,0.21258251802944983,0.210310583221745,0.01080276024582826,-108.59067 x^0.00003 + 108.81698
118,0.21255798815134597,0.2102901429431507,0.010784362863875843,-108.59067 x^0.00003 + 108.81698
119,0.2125336652733978,0.21026997062374,0.010765658277036948,-108.59067 x^0.00003 + 108.81698
120,0.21250954593121207,0.2102500603262227,0.010746658533574571,-108.59067 x^0.00003 + 108.81698
121,0.2124856267465418,0.2102304063087104,0.010727375156759008,-108.59067 x^0.00003 + 108.81698
122,0.21246190442461454,0.2102110030022542,0.010707819239776917,-108.59067 x^0.00003 + 108.81698
123,0.21243837575134705,0.2101918450090745,0.01068800144066273,-108.59067 x^0.00003 + 108.81698
124,0.21241503759070213,0.2101729270864921,0.010667932046677613,-108.59067 x^0.00003 + 108.81698
125,0.2123918868822301,0.2101542441542275,0.010647620927229196,-108.59067 x^0.00003 + 108.81698
126,0.21236892063863877,0.2101357912769021,0.010627077606184702,-108.59067 x^0.00003 + 108.81698
127,0.21234613594349128,0.2101175636663982,0.010606311239318229,-108.59067 x^0.00003 + 108.81698
128,0.21232352994893233,0.2100995566691027,0.010585330664606204,-108.59067 x^0.00003 + 108.81698
129,0.21230109987365609,0.2100817657717132,0.01056414436441163,-108.59067 x^0.00003 + 108.81698
130,0.21227884300074606,0.2100641865808706,0.010542760552964976,-108.59067 x^0.00003 + 108.81698
131,0.2122567566757283,0.2100468148348598,0.010521187110625685,-108.59067 x^0.00003 + 108.81698
132,0.21223483830476653,0.2100296463868032,0.010499431655958348,-108.59067 x^0.00003 + 108.81698
