Matrix size,Coefficient,R square
140,0.2098991563478068,0.99931694124309
141,0.20988364879870378,0.9993174004811131
142,0.20986830881498741,0.9993178405980115
143,0.20985313332301134,0.9993182623344714
144,0.20983811932497545,0.9993186664013906
145,0.20982326389942013,0.9993190534812023
146,0.20980856419858382,0.9993194242291318
147,0.20979401745144066,0.9993197792743916
148,0.20977962094188626,0.9993201192213186
149,0.2097653720417043,0.999320444650455
150,0.2097512681028586,0.9993207561195778
151,0.2097373068091093,0.9993210541646785
152,0.20972348554172415,0.9993213393008952
153,0.20970980189160382,0.9993216120234016
154,0.20969625360373553,0.999321872808253
155,0.20968283837279272,0.9993221221131927
156,0.2096695539660542,0.9993223603784209
157,0.2096563982174133,0.9993225880273271
158,0.20964336899709335,0.9993228054671899
159,0.20963046422885956,0.9993230130898428
160,0.20961768183113283,0.999323211272311
161,0.20960501999276765,0.9993234003774185
162,0.20959247660607025,0.9993235807543671
163,0.2095800498371549,0.9993237527392905
164,0.2095677378287636,0.999323916655783
165,0.20955553877755373,0.9993240728154036
166,0.2095434509104214,0.9993242215181591
167,0.20953147240929615,0.9993243630529656
168,0.20951960184320637,0.9993244976980883
169,0.2095078372922917,0.9993246257215639
170,0.20949617722670325,0.9993247473816035
171,0.20948462014771507,0.9993248629269781
172,0.2094731642994806,0.9993249725973876
173,0.20946180822223287,0.9993250766238141
174,0.2094505505542902,0.9993251752288596
175,0.20943938980756305,0.9993252686270698
176,0.20942832442471948,0.999325357025244
177,0.2094173531405964,0.999325440622732
178,0.20940647454371217,0.9993255196117178
179,0.20939568729126884,0.9993255941774927
180,0.2093849900677858,0.9993256644987164
181,0.20937438159160862,0.9993257307476666
182,0.20936386059541276,0.9993257930904796
183,0.20935342584829972,0.9993258516873802
184,0.20934307613503272,0.9993259066929018
185,0.20933281026675854,0.9993259582560987
186,0.2093226270851543,0.9993260065207493
187,0.20931252544042486,0.9993260516255501
188,0.20930250421769211,0.9993260937043034
189,0.2092925623166221,0.9993261328860967
190,0.20928269866090896,0.999326169295475
191,0.20927291219279312,0.9993262030526062
192,0.20926320187694195,0.9993262342734401
193,0.20925356669378783,0.9993262630698614
194,0.20924400567200052,0.9993262895498358
195,0.20923451775805674,0.9993263138175513
196,0.2092251020634916,0.9993263359735539
197,0.20921575762122033,0.9993263561148771
198,0.2092064835031439,0.9993263743351677
199,0.209197278802181,0.9993263907248059
200,0.20918814262297605,0.999326405371021
201,0.20917907409007425,0.9993264183580028
202,0.2091700723410054,0.9993264297670086
203,0.20916113653245488,0.9993264396764658
204,0.20915226583292765,0.999326448162072
205,0.2091434594248842,0.9993264552968893
206,0.20913471650940482,0.9993264611514369
207,0.2091260362969987,0.9993264657937788
208,0.20911741801352035,0.9993264692896092
209,0.20910886089974642,0.9993264717023347
210,0.2091003642073603,0.9993264730931524
211,0.20909192723449643,0.9993264735211266
212,0.2090835491646984,0.9993264730432616
213,0.20907522938415277,0.9993264717145723
214,0.20906696715957931,0.9993264695881522
215,0.20905876180756292,0.9993264667152383
216,0.20905061265466687,0.9993264631452752
217,0.2090425190363849,0.9993264589259748
218,0.20903448029956653,0.999326454103376
219,0.20902649580452218,0.9993264487218999
