Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
161,8.344716494264775e+69,0.2096050199927676,3.981162519176644e+70,1.00000exp(1.00000x) + 1.00000
162,2.2683291210002403e+70,0.2095924766060702,1.0822569386703575e+71,1.00000exp(1.00000x) + 1.00000
163,6.165957830579433e+70,0.2095800498371549,2.9420538049162713e+71,1.00000exp(1.00000x) + 1.00000
164,1.6760811125908828e+71,0.2095677378287636,7.997801235800892e+71,1.00000exp(1.00000x) + 1.00000
165,4.556060831379215e+71,0.2095555387775537,2.1741543353886442e+72,1.00000exp(1.00000x) + 1.00000
166,1.2384657367292132e+72,0.2095434509104214,5.91030514839927e+72,1.00000exp(1.00000x) + 1.00000
167,3.366498907320164e+72,0.2095314724092961,1.6066793539941762e+73,1.00000exp(1.00000x) + 1.00000
168,9.151092805295634e+72,0.2095196018432063,4.367654732440662e+73,1.00000exp(1.00000x) + 1.00000
169,2.487524928317743e+73,0.2095078372922917,1.187318317284384e+74,1.00000exp(1.00000x) + 1.00000
170,6.761793810485009e+73,0.2094961772267032,3.2276454396434325e+74,1.00000exp(1.00000x) + 1.00000
171,1.8380461242828246e+74,0.209484620147715,8.774133981705929e+74,1.00000exp(1.00000x) + 1.00000
172,4.996327379507578e+74,0.2094731642994806,2.385187332332654e+75,1.00000exp(1.00000x) + 1.00000
173,1.358142592474785e+75,0.2094618082222328,6.483962895201572e+75,1.00000exp(1.00000x) + 1.00000
174,3.691814329580466e+75,0.2094505505542902,1.762618584582587e+76,1.00000exp(1.00000x) + 1.00000
175,1.0035391806143295e+76,0.209439389807563,4.791549390668111e+76,1.00000exp(1.00000x) + 1.00000
176,2.7279023188106115e+76,0.2094283244247194,1.3025469817914608e+77,1.00000exp(1.00000x) + 1.00000
177,7.415207303034179e+76,0.2094173531405964,3.540875286517367e+77,1.00000exp(1.00000x) + 1.00000
178,2.0156623266094611e+77,0.2094064745437121,9.625596968773312e+77,1.00000exp(1.00000x) + 1.00000
179,5.47913827473198e+77,0.2093956872912688,2.6166433251848755e+78,1.00000exp(1.00000x) + 1.00000
180,1.4893842007818383e+78,0.2093849900677858,7.113137385347768e+78,1.00000exp(1.00000x) + 1.00000
181,4.048566008579269e+78,0.2093743815916086,1.9336491779954846e+79,1.00000exp(1.00000x) + 1.00000
182,1.1005143412437996e+79,0.2093638605954127,5.256467558985739e+79,1.00000exp(1.00000x) + 1.00000
183,2.991508135761597e+79,0.2093534258482997,1.4289272428382825e+80,1.00000exp(1.00000x) + 1.00000
